graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
0,GraphSAGE,natural,none,43,PGExplainer,0.996,30,nan,0.958,nan,nan,0.263,0.298,30,no
0,GraphSAGE,natural,none,43,GNNShap,0.996,30,0.965,nan,0.233,0.97,0.733,0.237,30,
0,GraphSAGE,natural,none,44,GNNExplainer,0.996,30,0.879,0.519,0.533,nan,0.773,-0.043,27,
0,GraphSAGE,natural,none,44,PGExplainer,0.996,30,nan,0.945,nan,nan,0.286,0.232,27,no
0,GraphSAGE,natural,none,44,GNNShap,0.996,30,0.958,nan,0.2,0.97,0.702,0.342,27,
0,GraphSAGE,natural,class_weighting,42,GNNExplainer,0.996,30,0.852,0.51,0.6,nan,0.779,-0.02,28,
0,GraphSAGE,natural,class_weighting,42,PGExplainer,0.996,30,nan,0.955,nan,nan,0.212,0.292,28,no
0,GraphSAGE,natural,class_weighting,42,GNNShap,0.996,30,0.966,nan,0.167,0.963,0.666,0.352,28,
0,GraphSAGE,natural,class_weighting,43,GNNExplainer,0.995,30,0.86,0.514,0.533,nan,0.843,-0.054,28,
0,GraphSAGE,natural,class_weighting,43,PGExplainer,0.995,30,nan,0.941,nan,nan,0.215,0.275,28,no
0,GraphSAGE,natural,class_weighting,43,GNNShap,0.995,30,0.968,nan,0.167,0.961,0.663,0.346,28,
0,GraphSAGE,natural,class_weighting,44,GNNExplainer,0.996,30,0.855,0.471,0.533,nan,0.726,-0.024,30,
0,GraphSAGE,natural,class_weighting,44,PGExplainer,0.996,30,nan,0.909,nan,nan,0.132,0.212,30,no
0,GraphSAGE,natural,class_weighting,44,GNNShap,0.996,30,0.97,nan,0.1,0.97,0.61,0.361,30,
0,GraphSAGE,natural,focal_loss,42,GNNExplainer,0.996,30,0.896,0.488,0.4,nan,0.509,-0.12,28,
0,GraphSAGE,natural,focal_loss,42,PGExplainer,0.996,30,nan,0.871,nan,nan,0.086,0.156,28,no
0,GraphSAGE,natural,focal_loss,42,GNNShap,0.996,30,0.979,nan,0.2,0.969,0.555,0.203,28,
0,GraphSAGE,natural,focal_loss,43,GNNExplainer,0.997,30,0.892,0.485,0.367,nan,0.537,-0.093,30,
0,GraphSAGE,natural,focal_loss,43,PGExplainer,0.997,30,nan,0.923,nan,nan,0.085,0.188,30,no
0,GraphSAGE,natural,focal_loss,43,GNNShap,0.997,30,0.984,nan,0.2,0.968,0.516,0.275,30,
0,GraphSAGE,natural,focal_loss,44,GNNExplainer,0.996,30,0.894,0.487,0.567,nan,0.492,-0.119,28,
0,GraphSAGE,natural,focal_loss,44,PGExplainer,0.996,30,nan,0.906,nan,nan,0.08,0.167,28,no
0,GraphSAGE,natural,focal_loss,44,GNNShap,0.996,30,0.98,nan,0.133,0.97,0.564,0.17,28,
0,GAT,1:1,none,42,GNNExplainer,0.807,30,0.969,0.548,0.5,nan,0.538,-0.08,28,
0,GAT,1:1,none,42,PGExplainer,0.807,30,nan,0.321,nan,nan,-0.138,0.734,28,no
0,GAT,1:1,none,42,GNNShap,0.807,30,0.962,nan,0.033,0.935,0.597,0.424,28,
0,GAT,1:1,none,43,GNNExplainer,0.698,30,0.958,0.566,0.0,nan,0.646,-0.215,28,
0,GAT,1:1,none,43,PGExplainer,0.698,30,nan,0.733,nan,nan,-0.044,-0.137,28,no
0,GAT,1:1,none,43,GNNShap,0.698,30,0.977,nan,0.233,0.939,0.488,0.236,28,
0,GAT,1:1,none,44,GNNExplainer,0.792,30,0.972,0.535,0.267,nan,0.609,-0.099,30,
0,GAT,1:1,none,44,PGExplainer,0.792,30,nan,0.749,nan,nan,0.274,-0.065,30,no
0,GAT,1:1,none,44,GNNShap,0.792,30,0.953,nan,0.067,0.945,0.636,0.395,30,
0,GAT,1:1,class_weighting,42,GNNExplainer,0.807,30,0.969,0.548,0.5,nan,0.539,-0.081,28,
0,GAT,1:1,class_weighting,42,PGExplainer,0.807,30,nan,0.317,nan,nan,-0.14,0.735,28,no
0,GAT,1:1,class_weighting,42,GNNShap,0.807,30,0.962,nan,0.033,0.934,0.589,0.424,28,
0,GAT,1:1,class_weighting,43,GNNExplainer,0.698,30,0.958,0.566,0.0,nan,0.646,-0.215,28,
0,GAT,1:1,class_weighting,43,PGExplainer,0.698,30,nan,0.733,nan,nan,-0.044,-0.137,28,no
0,GAT,1:1,class_weighting,43,GNNShap,0.698,30,0.977,nan,0.233,0.939,0.488,0.236,28,
0,GAT,1:1,class_weighting,44,GNNExplainer,0.793,30,0.975,0.53,0.267,nan,0.554,-0.057,31,
0,GAT,1:1,class_weighting,44,PGExplainer,0.793,30,nan,0.782,nan,nan,0.328,-0.031,31,no
0,GAT,1:1,class_weighting,44,GNNShap,0.793,30,0.953,nan,0.133,0.951,0.715,0.319,31,
0,GAT,1:1,focal_loss,42,GNNExplainer,0.717,30,0.911,0.529,0.233,nan,0.39,-0.259,28,
0,GAT,1:1,focal_loss,42,PGExplainer,0.717,30,nan,0.46,nan,nan,-0.131,0.088,28,no
0,GAT,1:1,focal_loss,42,GNNShap,0.717,30,0.993,nan,0.3,0.938,0.183,0.112,28,
