architecture,scenario,balancing,explainer,node,node_typ,spearman,plaus_edge,plaus_feat,shap_conc,fid_plus,fid_minus,sub_n_nodes
GraphSAGE,1:1,class_weighting,GNNExplainer,9405,4,0.7061654135338346,0.5555555555555556,0.0,,1.0,0.0,30
GraphSAGE,1:1,class_weighting,GNNExplainer,8997,3,0.8386466165413532,0.4666666666666667,0.0,,1.0,0.0,32
GraphSAGE,1:1,class_weighting,GNNExplainer,9184,3,0.7257142857142856,0.4375,0.0,,1.0,0.0,35
GraphSAGE,1:1,class_weighting,GNNExplainer,8224,1,0.47187969924812023,0.5476190476190477,0.0,,0.6,0.0,36
GraphSAGE,1:1,class_weighting,GNNExplainer,8333,1,0.814736842105263,0.5238095238095238,0.0,,1.0,0.0,33
GraphSAGE,1:1,class_weighting,GNNExplainer,8937,3,0.8657142857142857,0.5,0.0,,1.0,0.0,38
GraphSAGE,1:1,class_weighting,GNNExplainer,8209,1,0.9384962406015036,0.6590909090909091,0.0,,1.0,0.0,25
GraphSAGE,1:1,class_weighting,GNNExplainer,8803,2,0.9305263157894735,0.25,1.0,,1.0,0.0,17
GraphSAGE,1:1,class_weighting,GNNExplainer,8825,2,0.968421052631579,0.625,1.0,,1.0,0.0,26
GraphSAGE,1:1,class_weighting,GNNExplainer,8687,2,0.8581954887218043,0.375,1.0,,1.0,0.0,30
GraphSAGE,1:1,class_weighting,GNNExplainer,8029,1,0.9520300751879699,0.4090909090909091,0.0,,1.0,0.0,25
GraphSAGE,1:1,class_weighting,GNNExplainer,8556,2,0.9390977443609023,0.5,1.0,,1.0,0.0,25
GraphSAGE,1:1,class_weighting,GNNExplainer,8226,1,0.8470676691729322,0.5238095238095238,0.0,,1.0,0.0,33
GraphSAGE,1:1,class_weighting,GNNExplainer,8604,2,0.8742857142857142,0.5,1.0,,1.0,0.0,20
GraphSAGE,1:1,class_weighting,GNNExplainer,9462,4,0.8941353383458646,0.575,0.0,,1.0,0.0,33
GraphSAGE,1:1,class_weighting,GNNExplainer,8521,2,0.9066165413533833,0.5,1.0,,1.0,0.0,23
GraphSAGE,1:1,class_weighting,GNNExplainer,9442,4,0.9377443609022554,0.3,0.0,,1.0,0.0,30
GraphSAGE,1:1,class_weighting,GNNExplainer,9096,3,0.761954887218045,0.5,0.0,,1.0,0.0,34
GraphSAGE,1:1,class_weighting,GNNExplainer,8647,2,0.925563909774436,0.0,1.0,,1.0,0.0,21
GraphSAGE,1:1,class_weighting,GNNExplainer,8698,2,0.9192481203007518,0.5,1.0,,1.0,0.0,18
GraphSAGE,1:1,class_weighting,PGExplainer,8568,2,,1.0,,,,,17
GraphSAGE,1:1,class_weighting,PGExplainer,8147,1,,0.9705882352941176,,,,,28
GraphSAGE,1:1,class_weighting,PGExplainer,9119,3,,1.0,,,,,27
GraphSAGE,1:1,class_weighting,PGExplainer,8265,1,,0.9473684210526315,,,,,34
GraphSAGE,1:1,class_weighting,PGExplainer,9321,4,,0.9411764705882353,,,,,32
GraphSAGE,1:1,class_weighting,PGExplainer,9008,3,,1.0,,,,,33
GraphSAGE,1:1,class_weighting,PGExplainer,8107,1,,1.0,,,,,83
GraphSAGE,1:1,class_weighting,PGExplainer,8053,1,,0.9772727272727273,,,,,83
GraphSAGE,1:1,class_weighting,PGExplainer,9238,4,,0.9500000000000001,,,,,39
GraphSAGE,1:1,class_weighting,PGExplainer,9121,3,,1.0,,,,,26
GraphSAGE,1:1,class_weighting,PGExplainer,9405,4,,0.9444444444444444,,,,,30
GraphSAGE,1:1,class_weighting,PGExplainer,8997,3,,1.0,,,,,32
GraphSAGE,1:1,class_weighting,PGExplainer,9184,3,,1.0,,,,,35
GraphSAGE,1:1,class_weighting,PGExplainer,8224,1,,0.9523809523809523,,,,,36
GraphSAGE,1:1,class_weighting,PGExplainer,8333,1,,0.9761904761904762,,,,,33
GraphSAGE,1:1,class_weighting,PGExplainer,8937,3,,0.9473684210526315,,,,,38
GraphSAGE,1:1,class_weighting,PGExplainer,8209,1,,0.9772727272727273,,,,,25
GraphSAGE,1:1,class_weighting,PGExplainer,8803,2,,1.0,,,,,17
GraphSAGE,1:1,class_weighting,PGExplainer,8825,2,,0.75,,,,,26
GraphSAGE,1:1,class_weighting,PGExplainer,8687,2,,1.0,,,,,30
GraphSAGE,1:1,class_weighting,PGExplainer,8029,1,,0.9545454545454546,,,,,25
GraphSAGE,1:1,class_weighting,PGExplainer,8556,2,,1.0,,,,,25
GraphSAGE,1:1,class_weighting,PGExplainer,8226,1,,0.9523809523809523,,,,,33
GraphSAGE,1:1,class_weighting,PGExplainer,8604,2,,1.0,,,,,20
GraphSAGE,1:1,class_weighting,PGExplainer,9462,4,,0.9500000000000001,,,,,33
GraphSAGE,1:1,class_weighting,PGExplainer,8521,2,,0.8333333333333334,,,,,23
GraphSAGE,1:1,class_weighting,PGExplainer,9442,4,,0.9500000000000001,,,,,30
GraphSAGE,1:1,class_weighting,PGExplainer,9096,3,,0.9411764705882353,,,,,34
GraphSAGE,1:1,class_weighting,PGExplainer,8647,2,,1.0,,,,,21
GraphSAGE,1:1,class_weighting,PGExplainer,8698,2,,1.0,,,,,18
GraphSAGE,1:1,class_weighting,GNNShap,8568,2,0.9290225563909773,,0.0,0.9740593648393068,,,17
GraphSAGE,1:1,class_weighting,GNNShap,8147,1,0.9640601503759397,,0.0,0.9393520125537431,,,28
GraphSAGE,1:1,class_weighting,GNNShap,9119,3,0.949624060150376,,0.0,0.9865699667308139,,,27
GraphSAGE,1:1,class_weighting,GNNShap,8265,1,0.9717293233082704,,0.0,0.9660971828256555,,,34
GraphSAGE,1:1,class_weighting,GNNShap,9321,4,0.9748872180451128,,0.0,0.9565700952664351,,,32
GraphSAGE,1:1,class_weighting,GNNShap,9008,3,0.9751879699248118,,0.0,0.9639014403690046,,,33
GraphSAGE,1:1,class_weighting,GNNShap,8107,1,0.8860150375939849,,0.0,0.9963342709951271,,,83
GraphSAGE,1:1,class_weighting,GNNShap,8053,1,0.9530827067669172,,0.0,0.99796759102622,,,83
GraphSAGE,1:1,class_weighting,GNNShap,9238,4,0.9324812030075187,,0.0,0.9019409053050719,,,39
GraphSAGE,1:1,class_weighting,GNNShap,9121,3,0.9535338345864661,,0.0,0.993890547210259,,,26
GraphSAGE,1:1,class_weighting,GNNShap,9405,4,0.9714285714285715,,0.0,0.9523145007743621,,,30
GraphSAGE,1:1,class_weighting,GNNShap,8997,3,0.9366917293233081,,0.0,0.9748755869524229,,,32
GraphSAGE,1:1,class_weighting,GNNShap,9184,3,0.9090225563909774,,0.0,0.9788738517599969,,,35
GraphSAGE,1:1,class_weighting,GNNShap,8224,1,0.9269172932330827,,0.0,0.9372120741776346,,,36
GraphSAGE,1:1,class_weighting,GNNShap,8333,1,0.9729323308270675,,0.0,0.9747217575962995,,,33
GraphSAGE,1:1,class_weighting,GNNShap,8937,3,0.9652631578947366,,0.0,0.9673063416723073,,,38
GraphSAGE,1:1,class_weighting,GNNShap,8209,1,0.9654135338345865,,0.0,0.9855719133939862,,,25
GraphSAGE,1:1,class_weighting,GNNShap,8803,2,0.9759398496240601,,1.0,0.9500079154082914,,,17
GraphSAGE,1:1,class_weighting,GNNShap,8825,2,0.9141353383458647,,1.0,0.9782240824259862,,,26
GraphSAGE,1:1,class_weighting,GNNShap,8687,2,0.9861654135338347,,1.0,0.969206710854275,,,30
GraphSAGE,1:1,class_weighting,GNNShap,8029,1,0.9769924812030075,,0.0,0.9578567054982525,,,25
GraphSAGE,1:1,class_weighting,GNNShap,8556,2,0.9613533834586464,,0.0,0.9683806094613537,,,25
GraphSAGE,1:1,class_weighting,GNNShap,8226,1,0.9834586466165411,,0.0,0.9575625918347397,,,33
GraphSAGE,1:1,class_weighting,GNNShap,8604,2,0.9581954887218045,,1.0,0.9850744727053105,,,20
GraphSAGE,1:1,class_weighting,GNNShap,9462,4,0.9745864661654133,,0.0,0.9618778872343826,,,33
GraphSAGE,1:1,class_weighting,GNNShap,8521,2,0.936390977443609,,1.0,0.9753809184687132,,,23
GraphSAGE,1:1,class_weighting,GNNShap,9442,4,0.9723308270676689,,0.0,0.8992641410456402,,,30
GraphSAGE,1:1,class_weighting,GNNShap,9096,3,0.9118796992481201,,0.0,0.98417802883636,,,34
GraphSAGE,1:1,class_weighting,GNNShap,8647,2,0.9341353383458646,,0.0,0.9896282808526244,,,21
GraphSAGE,1:1,class_weighting,GNNShap,8698,2,0.9712781954887216,,1.0,0.9702192171924023,,,18
GraphSAGE,1:1,focal_loss,GNNExplainer,8790,2,0.9566917293233083,0.5,1.0,,1.0,0.0,24
GraphSAGE,1:1,focal_loss,GNNExplainer,8147,1,0.9685714285714285,0.5294117647058824,0.0,,1.0,0.0,28
GraphSAGE,1:1,focal_loss,GNNExplainer,8745,2,0.8566917293233083,0.5,1.0,,1.0,0.0,21
GraphSAGE,1:1,focal_loss,GNNExplainer,8336,1,0.921203007518797,0.5714285714285714,1.0,,1.0,0.0,30
GraphSAGE,1:1,focal_loss,GNNExplainer,8404,2,0.9499248120300751,0.375,1.0,,1.0,0.0,25
GraphSAGE,1:1,focal_loss,GNNExplainer,9343,4,0.8965413533834585,0.65,1.0,,1.0,0.0,32
GraphSAGE,1:1,focal_loss,GNNExplainer,8107,1,0.5302255639097744,0.391304347826087,1.0,,0.0,0.0,83
GraphSAGE,1:1,focal_loss,GNNExplainer,8053,1,0.5021052631578946,0.4090909090909091,1.0,,0.0,0.0,83
GraphSAGE,1:1,focal_loss,GNNExplainer,8285,1,0.9233082706766916,0.4230769230769231,1.0,,1.0,0.0,27
GraphSAGE,1:1,focal_loss,GNNExplainer,8346,1,0.8470676691729322,0.5454545454545454,0.0,,1.0,0.0,35
GraphSAGE,1:1,focal_loss,GNNExplainer,8985,3,0.8878195488721804,0.43333333333333335,0.0,,1.0,0.0,36
GraphSAGE,1:1,focal_loss,GNNExplainer,8906,3,0.8270676691729323,0.5227272727272727,0.0,,1.0,0.0,37
GraphSAGE,1:1,focal_loss,GNNExplainer,8827,2,0.9270676691729323,0.375,1.0,,1.0,0.0,23
GraphSAGE,1:1,focal_loss,GNNExplainer,8270,1,0.9372932330827066,0.4666666666666667,1.0,,1.0,0.0,25
GraphSAGE,1:1,focal_loss,GNNExplainer,8635,2,0.9478195488721803,0.25,1.0,,1.0,0.0,23
GraphSAGE,1:1,focal_loss,GNNExplainer,9065,3,0.8711278195488721,0.5263157894736842,0.0,,1.0,0.0,33
GraphSAGE,1:1,focal_loss,GNNExplainer,8738,2,0.8548872180451127,0.25,1.0,,1.0,0.0,17
GraphSAGE,1:1,focal_loss,GNNExplainer,8749,2,0.9789473684210523,0.5,1.0,,1.0,0.0,19
GraphSAGE,1:1,focal_loss,GNNExplainer,8828,2,0.9413533834586465,0.5,1.0,,1.0,0.0,25
