architecture,scenario,node,node_typ,spearman,plaus_f1,plaus_prec,plaus_rec,plaus_feat,sub_n_nodes,sub_n_edges
GAT,1:10,8853,2,0.938345864661654,0.5,0.5,0.5,0.0,20,38
GAT,1:10,9468,4,0.9885714285714287,0.575,0.575,0.575,1.0,33,66
GAT,1:10,9340,4,0.9860150375939849,0.55,0.55,0.55,1.0,34,66
GAT,1:10,9042,3,0.9875187969924811,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,36,70
GAT,1:10,8126,1,0.9658646616541352,0.6363636363636364,0.6363636363636364,0.6363636363636364,1.0,47,98
GAT,1:10,9366,4,0.9751879699248119,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.0,27,52
GAT,1:10,8854,2,0.9451127819548871,0.5,0.5,0.5,0.0,26,50
GAT,1:10,8259,1,0.9897744360902255,0.5526315789473685,0.5526315789473685,0.5526315789473685,1.0,28,64
GAT,1:10,8106,1,0.966015037593985,0.54,0.54,0.54,1.0,39,94
GAT,1:10,9411,4,0.9857142857142855,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.0,30,58
GAT,1:10,8365,1,0.9760902255639097,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,29,62
GAT,1:10,8089,1,0.9861654135338345,0.5869565217391305,0.5869565217391305,0.5869565217391305,1.0,34,78
GAT,1:10,9425,4,0.9580451127819547,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,31,60
GAT,1:10,8921,3,0.9917293233082706,0.5909090909090909,0.5909090909090909,0.5909090909090909,1.0,36,70
GAT,1:10,9065,3,0.9909774436090224,0.5263157894736842,0.5263157894736842,0.5263157894736842,1.0,33,64
GAT,1:10,9540,4,0.9855639097744359,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,32,62
GAT,1:10,8058,1,0.9948872180451126,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,33,72
GAT,1:10,9464,4,0.9857142857142858,0.525,0.525,0.525,1.0,36,72
GAT,1:10,9276,4,0.9912781954887218,0.5666666666666667,0.5666666666666667,0.5666666666666667,1.0,26,50
GAT,1:10,8797,2,0.9649624060150375,0.5,0.5,0.5,0.0,17,34
GAT,1:10,8331,1,0.9824060150375941,0.5952380952380952,0.5952380952380952,0.5952380952380952,1.0,30,72
GAT,1:10,8107,1,0.9774436090225563,0.782608695652174,0.782608695652174,0.782608695652174,1.0,83,174
GAT,1:50,9321,4,0.9834586466165414,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,32,62
GAT,1:50,8335,1,0.9890225563909774,0.5476190476190477,0.5476190476190477,0.5476190476190477,1.0,33,76
GAT,1:50,9103,3,0.983157894736842,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,36,70
GAT,1:50,9176,3,0.9894736842105262,0.5208333333333334,0.5208333333333334,0.5208333333333334,1.0,40,78
GAT,1:50,8899,3,0.9879699248120299,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,38,74
GAT,1:50,9178,3,0.9912781954887218,0.5208333333333334,0.5208333333333334,0.5208333333333334,1.0,39,76
GAT,1:50,8969,3,0.9870676691729322,0.5277777777777778,0.5277777777777778,0.5277777777777778,1.0,32,62
GAT,1:50,8333,1,0.9945864661654135,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,33,76
GAT,1:50,8113,1,0.9990977443609023,0.6086956521739131,0.6086956521739131,0.6086956521739131,1.0,34,76
GAT,1:50,8906,3,0.9960902255639098,0.5227272727272727,0.5227272727272727,0.5227272727272727,1.0,37,72
GAT,1:50,8121,1,0.9852631578947365,0.5652173913043478,0.5652173913043478,0.5652173913043478,1.0,35,78
GAT,1:50,9320,4,0.9932330827067668,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,38,76
GAT,1:50,8040,1,0.9920300751879697,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,37,82
