graph_seed,architecture,scenario,balancing,model_seed,explainer,node,node_typ,spearman,plaus_edge,plaus_feat,shap_conc,fid_plus,fid_minus,sub_n_nodes
1,GraphSAGE,1:1,none,42,GNNShap,8324,1,0.9440601503759398,,0.0,0.9582793111852433,0.9997597932815552,-1.1920928955078125e-07,29
1,GraphSAGE,1:1,none,42,GNNShap,8939,3,0.9807518796992479,,0.0,0.9496601604406635,0.9995073080062866,-8.809566497802734e-05,37
1,GraphSAGE,1:1,none,42,GNNShap,9425,4,0.9893233082706766,,0.0,0.9342554225497735,0.06444138288497925,0.7486719489097595,39
1,GraphSAGE,1:1,none,42,GNNShap,8436,2,0.9663157894736842,,0.0,0.9510992759354544,0.9948243498802185,0.0002830624580383301,21
1,GraphSAGE,1:1,none,43,GNNExplainer,8453,2,0.9530827067669174,0.5,1.0,,0.8195034265518188,-0.0006070137023925781,16
1,GraphSAGE,1:1,none,43,GNNExplainer,9367,4,0.9190977443609022,0.46153846153846156,0.0,,0.862278401851654,-0.00031125545501708984,27
1,GraphSAGE,1:1,none,43,GNNExplainer,8248,1,0.8196992481203006,0.5869565217391305,0.0,,0.31376737356185913,-0.00028896331787109375,33
1,GraphSAGE,1:1,none,43,GNNExplainer,8924,3,0.8523308270676692,0.5238095238095238,0.0,,0.45580852031707764,-0.00020819902420043945,37
1,GraphSAGE,1:1,none,43,GNNExplainer,8758,2,0.8297744360902255,0.375,1.0,,0.000951230525970459,-0.00010085105895996094,23
1,GraphSAGE,1:1,none,43,GNNExplainer,8660,2,0.830375939849624,0.5,1.0,,0.03774315118789673,-3.695487976074219e-05,26
1,GraphSAGE,1:1,none,43,GNNExplainer,9198,4,0.8690225563909774,0.5217391304347826,0.0,,0.4681277871131897,-0.0019372105598449707,43
1,GraphSAGE,1:1,none,43,GNNExplainer,8632,2,0.8953383458646617,0.375,1.0,,0.026878297328948975,-0.0004342198371887207,23
1,GraphSAGE,1:1,none,43,GNNExplainer,8049,1,0.9368421052631579,0.47058823529411764,0.0,,0.9778492450714111,0.009751737117767334,32
1,GraphSAGE,1:1,none,43,GNNExplainer,8488,2,0.9132330827067667,0.375,1.0,,0.2973129153251648,-0.0005304217338562012,22
1,GraphSAGE,1:1,none,43,GNNExplainer,8774,2,0.9278195488721804,0.5,1.0,,0.8236518502235413,-0.0007660388946533203,18
1,GraphSAGE,1:1,none,43,GNNExplainer,9430,4,0.6661654135338344,0.6458333333333334,0.0,,0.7743501663208008,-1.3113021850585938e-06,36
1,GraphSAGE,1:1,none,43,GNNExplainer,8180,1,0.566766917293233,0.5384615384615384,1.0,,0.0032739639282226562,-1.1920928955078125e-07,24
1,GraphSAGE,1:1,none,43,GNNExplainer,9446,4,0.46781954887218047,0.35,0.0,,0.0,0.0,87
1,GraphSAGE,1:1,none,43,GNNExplainer,9165,3,0.8636090225563908,0.5,1.0,,0.6180953979492188,-0.007632195949554443,32
