architecture,scenario,balancing,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
GCN,1:50,class_weighting,GNNExplainer,0.705,30,0.981,0.466,0.9,nan,1.0,0.0,33,
GCN,1:50,class_weighting,PGExplainer,0.705,30,nan,0.807,nan,nan,nan,nan,33,no
GCN,1:50,class_weighting,GNNShap,0.705,30,0.986,nan,0.133,0.933,nan,nan,33,
GCN,1:50,focal_loss,GNNExplainer,0.723,30,0.982,0.57,0.567,nan,1.0,0.207,35,
GCN,1:50,focal_loss,PGExplainer,0.723,30,nan,0.802,nan,nan,nan,nan,35,no
GCN,1:50,focal_loss,GNNShap,0.723,30,0.993,nan,0.2,0.948,nan,nan,35,
GCN,1:100,none,GNNExplainer,0.487,0,nan,nan,nan,nan,nan,nan,0,
GCN,1:100,none,PGExplainer,0.487,0,nan,nan,nan,nan,nan,nan,0,
GCN,1:100,none,GNNShap,0.487,0,nan,nan,nan,nan,nan,nan,0,
GCN,1:100,class_weighting,GNNExplainer,0.683,30,0.976,0.529,0.667,nan,1.0,0.0,32,
GCN,1:100,class_weighting,PGExplainer,0.683,30,nan,0.832,nan,nan,nan,nan,32,no
GCN,1:100,class_weighting,GNNShap,0.683,30,0.986,nan,0.167,0.918,nan,nan,32,
GCN,1:100,focal_loss,GNNExplainer,0.648,15,0.987,0.602,0.2,nan,1.0,0.293,67,
GCN,1:100,focal_loss,PGExplainer,0.648,15,nan,0.667,nan,nan,nan,nan,67,no
GCN,1:100,focal_loss,GNNShap,0.648,15,0.989,nan,0.133,0.968,nan,nan,67,
GCN,natural,none,GNNExplainer,0.8,30,0.983,0.51,0.433,nan,1.0,0.0,32,
GCN,natural,none,PGExplainer,0.8,30,nan,0.805,nan,nan,nan,nan,32,no
GCN,natural,none,GNNShap,0.8,30,0.992,nan,0.133,0.966,nan,nan,32,
GCN,natural,class_weighting,GNNExplainer,0.797,30,0.972,0.499,0.833,nan,1.0,0.0,31,
GCN,natural,class_weighting,PGExplainer,0.797,30,nan,0.761,nan,nan,nan,nan,31,no
GCN,natural,class_weighting,GNNShap,0.797,30,0.985,nan,0.133,0.968,nan,nan,31,
GCN,natural,focal_loss,GNNExplainer,0.806,30,0.941,0.488,0.833,nan,0.993,0.0,30,
GCN,natural,focal_loss,PGExplainer,0.806,30,nan,0.777,nan,nan,nan,nan,30,no
GCN,natural,focal_loss,GNNShap,0.806,30,0.995,nan,0.133,0.968,nan,nan,30,
TAGCN,1:1,none,GNNExplainer,0.988,30,0.86,0.474,0.4,nan,0.867,0.0,28,
TAGCN,1:1,none,PGExplainer,0.988,30,nan,0.852,nan,nan,nan,nan,28,no
TAGCN,1:1,none,GNNShap,0.988,30,0.956,nan,0.1,0.947,nan,nan,28,
TAGCN,1:1,class_weighting,GNNExplainer,0.988,30,0.861,0.475,0.433,nan,0.867,0.0,28,
TAGCN,1:1,class_weighting,PGExplainer,0.988,30,nan,0.852,nan,nan,nan,nan,28,no
TAGCN,1:1,class_weighting,GNNShap,0.988,30,0.956,nan,0.1,0.947,nan,nan,28,
TAGCN,1:1,focal_loss,GNNExplainer,0.986,30,0.878,0.486,0.367,nan,0.913,0.0,30,
TAGCN,1:1,focal_loss,PGExplainer,0.986,30,nan,0.792,nan,nan,nan,nan,30,no
TAGCN,1:1,focal_loss,GNNShap,0.986,30,0.983,nan,0.033,0.963,nan,nan,30,
TAGCN,1:10,none,GNNExplainer,0.996,30,0.881,0.378,0.533,nan,0.933,0.0,27,
TAGCN,1:10,none,PGExplainer,0.996,30,nan,0.856,nan,nan,nan,nan,27,no
TAGCN,1:10,none,GNNShap,0.996,30,0.963,nan,0.1,0.964,nan,nan,27,
TAGCN,1:10,class_weighting,GNNExplainer,0.994,30,0.844,0.479,0.533,nan,0.887,0.0,29,
TAGCN,1:10,class_weighting,PGExplainer,0.994,30,nan,0.895,nan,nan,nan,nan,29,no
TAGCN,1:10,class_weighting,GNNShap,0.994,30,0.959,nan,0.067,0.971,nan,nan,29,
TAGCN,1:10,focal_loss,GNNExplainer,0.995,30,0.852,0.394,0.433,nan,0.9,0.0,27,
TAGCN,1:10,focal_loss,PGExplainer,0.995,30,nan,0.855,nan,nan,nan,nan,27,no
TAGCN,1:10,focal_loss,GNNShap,0.995,30,0.985,nan,0.1,0.962,nan,nan,27,
TAGCN,1:50,none,GNNExplainer,0.987,30,0.956,0.406,0.3,nan,1.0,0.0,31,
TAGCN,1:50,none,PGExplainer,0.987,30,nan,0.848,nan,nan,nan,nan,31,no
TAGCN,1:50,none,GNNShap,0.987,30,0.969,nan,0.1,0.938,nan,nan,31,
TAGCN,1:50,class_weighting,GNNExplainer,0.984,30,0.868,0.424,0.467,nan,0.88,0.0,32,
TAGCN,1:50,class_weighting,PGExplainer,0.984,30,nan,0.888,nan,nan,nan,nan,32,no
TAGCN,1:50,class_weighting,GNNShap,0.984,30,0.95,nan,0.067,0.931,nan,nan,32,
TAGCN,1:50,focal_loss,GNNExplainer,0.991,30,0.935,0.385,0.267,nan,1.0,0.0,32,
TAGCN,1:50,focal_loss,PGExplainer,0.991,30,nan,0.881,nan,nan,nan,nan,32,no
TAGCN,1:50,focal_loss,GNNShap,0.991,30,0.987,nan,0.267,0.95,nan,nan,32,
TAGCN,1:100,none,GNNExplainer,0.974,30,0.946,0.36,0.233,nan,1.0,0.0,33,
TAGCN,1:100,none,PGExplainer,0.974,30,nan,0.864,nan,nan,nan,nan,33,no
TAGCN,1:100,none,GNNShap,0.974,30,0.975,nan,0.033,0.935,nan,nan,33,
TAGCN,1:100,class_weighting,GNNExplainer,0.969,30,0.917,0.472,0.3,nan,1.0,0.0,32,
TAGCN,1:100,class_weighting,PGExplainer,0.969,30,nan,0.85,nan,nan,nan,nan,32,no
TAGCN,1:100,class_weighting,GNNShap,0.969,30,0.968,nan,0.133,0.914,nan,nan,32,
TAGCN,1:100,focal_loss,GNNExplainer,0.985,30,0.917,0.382,0.167,nan,1.0,0.0,33,
TAGCN,1:100,focal_loss,PGExplainer,0.985,30,nan,0.879,nan,nan,nan,nan,33,no
TAGCN,1:100,focal_loss,GNNShap,0.985,30,0.991,nan,0.1,0.931,nan,nan,33,
TAGCN,natural,none,GNNExplainer,0.996,30,0.88,0.378,0.533,nan,0.933,0.0,27,
TAGCN,natural,none,PGExplainer,0.996,30,nan,0.855,nan,nan,nan,nan,27,no
TAGCN,natural,none,GNNShap,0.996,30,0.963,nan,0.1,0.964,nan,nan,27,
TAGCN,natural,class_weighting,GNNExplainer,0.994,30,0.843,0.481,0.533,nan,0.88,0.0,29,
TAGCN,natural,class_weighting,PGExplainer,0.994,30,nan,0.895,nan,nan,nan,nan,29,no
TAGCN,natural,class_weighting,GNNShap,0.994,30,0.958,nan,0.067,0.972,nan,nan,29,
TAGCN,natural,focal_loss,GNNExplainer,0.995,30,0.852,0.394,0.433,nan,0.9,0.0,27,
TAGCN,natural,focal_loss,PGExplainer,0.995,30,nan,0.855,nan,nan,nan,nan,27,no
TAGCN,natural,focal_loss,GNNShap,0.995,30,0.985,nan,0.1,0.962,nan,nan,27,
