graph_seed,architecture,scenario,balancing,explainer,n_seeds,spearman_mean,spearman_sd,plaus_edge_mean,plaus_edge_sd,plaus_feat_mean,plaus_feat_sd,shap_conc_mean,shap_conc_sd,fid_plus_mean,fid_plus_sd,fid_minus_mean,fid_minus_sd
0,TAGCN,1:100,none,GNNShap,3,0.977,0.002,nan,nan,0.0887,0.051,0.93,0.0095,0.0767,0.0274,-0.0357,0.1044
0,TAGCN,1:100,none,PGExplainer,3,nan,nan,0.8597,0.0429,nan,nan,nan,nan,0.0473,0.0419,0.331,0.1345
0,TAGCN,1:50,class_weighting,GNNExplainer,3,0.8773,0.017,0.4553,0.0508,0.389,0.084,nan,nan,0.6453,0.05,-0.0247,0.0297
0,TAGCN,1:50,class_weighting,GNNShap,3,0.956,0.006,nan,nan,0.078,0.0191,0.931,0.005,0.3947,0.0392,0.2253,0.0615
0,TAGCN,1:50,class_weighting,PGExplainer,3,nan,nan,0.869,0.0165,nan,nan,nan,nan,0.082,0.016,0.211,0.039
0,TAGCN,1:50,focal_loss,GNNExplainer,3,0.9273,0.0045,0.396,0.0184,0.2667,0.0665,nan,nan,0.381,0.0501,-0.1797,0.0105
0,TAGCN,1:50,focal_loss,GNNShap,3,0.9863,0.0006,nan,nan,0.2,0.033,0.9507,0.004,0.2563,0.0705,0.026,0.0238
0,TAGCN,1:50,focal_loss,PGExplainer,3,nan,nan,0.8673,0.0295,nan,nan,nan,nan,-0.0103,0.0129,0.1133,0.0189
0,TAGCN,1:50,none,GNNExplainer,3,0.9247,0.0278,0.3667,0.0488,0.3,0.1,nan,nan,0.6937,0.0481,-0.022,0.0199
0,TAGCN,1:50,none,GNNShap,3,0.9713,0.0021,nan,nan,0.089,0.0191,0.9373,0.0006,0.2647,0.0243,0.09,0.0308
0,TAGCN,1:50,none,PGExplainer,3,nan,nan,0.8743,0.026,nan,nan,nan,nan,0.0597,0.0648,0.322,0.024
0,TAGCN,natural,class_weighting,GNNExplainer,3,0.846,0.0151,0.4427,0.0326,0.4553,0.1072,nan,nan,0.6257,0.0604,0.0183,0.0304
0,TAGCN,natural,class_weighting,GNNShap,3,0.9607,0.0015,nan,nan,0.0557,0.0196,0.9653,0.0055,0.5463,0.0086,0.1847,0.045
0,TAGCN,natural,class_weighting,PGExplainer,3,nan,nan,0.8753,0.017,nan,nan,nan,nan,0.101,0.0256,0.2133,0.0647
0,TAGCN,natural,focal_loss,GNNExplainer,3,0.8643,0.018,0.3847,0.0086,0.3777,0.0508,nan,nan,0.341,0.0139,-0.1107,0.022
0,TAGCN,natural,focal_loss,GNNShap,3,0.9843,0.0012,nan,nan,0.078,0.0191,0.9637,0.0057,0.3483,0.0314,0.08,0.0225
