run_id,scenario,architecture,balancing,seed,quality_passed,split,grid_x,pr_precision,roc_tpr
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1200,0.020382,0.225283
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1300,0.020549,0.237596
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1400,0.020745,0.251802
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1500,0.020259,0.262617
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1600,0.019564,0.268627
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1700,0.017283,0.273680
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1800,0.016207,0.283234
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1900,0.015335,0.305295
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2000,0.014263,0.313609
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2100,0.013876,0.331863
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2200,0.013364,0.337278
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2300,0.013337,0.337278
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2400,0.013285,0.348076
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2500,0.013185,0.350617
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2600,0.012823,0.353214
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2700,0.012020,0.356874
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2800,0.011536,0.363483
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.2900,0.011507,0.369640
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3000,0.011806,0.377876
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3100,0.011534,0.383712
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3200,0.011476,0.387300
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3300,0.011451,0.390534
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3400,0.011018,0.399780
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3500,0.010407,0.410612
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3600,0.009526,0.438003
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3700,0.009268,0.455509
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3800,0.009132,0.460282
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.3900,0.008655,0.482502
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4000,0.008560,0.497621
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4100,0.008546,0.502098
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4200,0.008608,0.519198
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4300,0.008752,0.525692
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4400,0.008887,0.538636
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4500,0.009019,0.540485
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4600,0.008832,0.542334
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4700,0.008879,0.544182
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4800,0.008977,0.554472
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.4900,0.009061,0.574698
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5000,0.008986,0.583173
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5100,0.009004,0.589288
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5200,0.008993,0.595894
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5300,0.008910,0.599675
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5400,0.008799,0.602153
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5500,0.008487,0.608852
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5600,0.008402,0.621302
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5700,0.008515,0.625431
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5800,0.008487,0.632772
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.5900,0.008403,0.652505
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6000,0.008234,0.667853
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6100,0.008067,0.692196
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6200,0.008093,0.708929
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6300,0.007958,0.718332
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6400,0.008028,0.738255
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6500,0.008055,0.756200
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6600,0.008111,0.769282
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6700,0.008125,0.775148
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6800,0.008230,0.784691
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.6900,0.008254,0.804734
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7000,0.008348,0.808845
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7100,0.008323,0.816467
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7200,0.008289,0.833431
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7300,0.008338,0.837180
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7400,0.008415,0.840119
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7500,0.008450,0.848644
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7600,0.008463,0.864566
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7700,0.008485,0.868592
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7800,0.008393,0.879611
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.7900,0.008451,0.890181
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8000,0.008539,0.899663
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8100,0.008422,0.905325
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8200,0.008366,0.909357
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8300,0.008412,0.917160
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8400,0.008278,0.917160
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8500,0.008232,0.932831
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8600,0.008274,0.936950
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8700,0.008202,0.939222
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8800,0.008216,0.947618
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.8900,0.008214,0.950835
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9000,0.008197,0.962675
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9100,0.008101,0.967155
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9200,0.008061,0.969954
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9300,0.007989,0.982249
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9400,0.007848,0.987856
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9500,0.007806,0.991763
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9600,0.007784,0.994586
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9700,0.007687,0.995962
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9800,0.007745,0.997338
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.9900,0.007639,0.998714
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,1.0000,0.007300,1.000000
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0000,1.000000,0.000000
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0100,0.347692,0.164229
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0200,0.324303,0.273381
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0300,0.334103,0.331096
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0400,0.351120,0.377779
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0500,0.385973,0.425638
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0600,0.412823,0.453908
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0700,0.423878,0.476991
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0800,0.445525,0.498504
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.0900,0.432353,0.518294
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1000,0.421990,0.531429
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1100,0.421478,0.545410
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1200,0.426669,0.558801
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1300,0.397870,0.570869
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1400,0.375426,0.583674
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1500,0.351179,0.590819
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1600,0.353476,0.604589
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1700,0.347310,0.623702
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1800,0.355275,0.640093
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.1900,0.344344,0.655331
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2000,0.343093,0.664020
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2100,0.344633,0.673186
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2200,0.336682,0.677900
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2300,0.334277,0.686314
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2400,0.337435,0.701519
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2500,0.330441,0.715982
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2600,0.323243,0.726754
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2700,0.316742,0.739779
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2800,0.307864,0.743943
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.2900,0.305700,0.751233
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3000,0.287482,0.758979
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3100,0.277599,0.764553
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3200,0.267731,0.770622
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3300,0.266605,0.775431
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3400,0.255131,0.788306
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3500,0.250941,0.794912
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3600,0.246450,0.802342
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3700,0.237790,0.805252
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3800,0.235804,0.813747
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.3900,0.236345,0.819744
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4000,0.235239,0.822854
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4100,0.228645,0.826095
