run_id,scenario,architecture,balancing,seed,quality_passed,split,n_pos,roc_auc,pr_auc_ap,pr_auc_trap,prec_at_50,prec_at_100,prec_at_npos
1:10_GCN_focal_loss_s43,1:10,GCN,focal_loss,43,False,val,914,0.8271158515864745,0.19536103496938112,0.19439146624642054,0.58,0.46,0.25601750547045954
1:10_GCN_focal_loss_s43,1:10,GCN,focal_loss,43,False,test,169,0.6580222838430431,0.014706291252858418,0.014327903235179964,0.02,0.01,0.011834319526627219
1:10_GCN_focal_loss_s44,1:10,GCN,focal_loss,44,False,val,914,0.7960994053457022,0.18940928220415768,0.18851802844859689,0.68,0.54,0.24726477024070023
1:10_GCN_focal_loss_s44,1:10,GCN,focal_loss,44,False,test,169,0.6005074497754144,0.01082465454720702,0.010567640325575426,0.0,0.01,0.01775147928994083
1:10_GCN_none,1:10,GCN,none,42,False,val,914,0.6943052510515852,0.11695805743555429,0.1163484499211934,0.26,0.32,0.2111597374179431
1:10_GCN_none,1:10,GCN,none,42,False,test,169,0.60682574238523,0.012269124718374031,0.011982521070153955,0.0,0.02,0.011834319526627219
1:10_GCN_none_s43,1:10,GCN,none,43,False,val,914,0.7504065948465705,0.10559698726843525,0.10493149812442576,0.44,0.25,0.1323851203501094
1:10_GCN_none_s43,1:10,GCN,none,43,False,test,169,0.6830620819335067,0.019215914613624537,0.018851187992199325,0.0,0.01,0.011834319526627219
1:10_GCN_none_s44,1:10,GCN,none,44,False,val,914,0.6433844051047718,0.10105907460343347,0.10031090010457205,0.54,0.37,0.16630196936542668
1:10_GCN_none_s44,1:10,GCN,none,44,False,test,169,0.5401026066430585,0.007567012298836896,0.007410759087315486,0.02,0.01,0.005917159763313609
1:10_GraphSAGE_class_weighting,1:10,GraphSAGE,class_weighting,42,True,val,914,0.9055582753586858,0.46575206394882157,0.4651946207042912,0.8,0.83,0.49015317286652077
1:10_GraphSAGE_class_weighting,1:10,GraphSAGE,class_weighting,42,True,test,169,0.7918233739260562,0.02730989498049023,0.026664633525756622,0.06,0.05,0.03550295857988166
1:10_GraphSAGE_class_weighting_s43,1:10,GraphSAGE,class_weighting,43,True,val,914,0.9236727930625211,0.4961377143605581,0.495735497169155,0.76,0.78,0.5175054704595186
1:10_GraphSAGE_class_weighting_s43,1:10,GraphSAGE,class_weighting,43,True,test,169,0.8338414606690402,0.04157607302772898,0.04046278341642243,0.04,0.05,0.04142011834319527
1:10_GraphSAGE_class_weighting_s44,1:10,GraphSAGE,class_weighting,44,True,val,914,0.9236436102037895,0.46584751017031095,0.4648128832490143,0.58,0.66,0.5142231947483589
1:10_GraphSAGE_class_weighting_s44,1:10,GraphSAGE,class_weighting,44,True,test,169,0.7356284959216446,0.022418868305945396,0.02094467621554743,0.06,0.04,0.04142011834319527
1:10_GraphSAGE_focal_loss,1:10,GraphSAGE,focal_loss,42,True,val,914,0.9306325609642693,0.523322526219562,0.522903865666907,0.86,0.86,0.5306345733041575
1:10_GraphSAGE_focal_loss,1:10,GraphSAGE,focal_loss,42,True,test,169,0.7586873307117754,0.02296698177628534,0.022483753437701717,0.0,0.03,0.04142011834319527
1:10_GraphSAGE_focal_loss_s43,1:10,GraphSAGE,focal_loss,43,True,val,914,0.9287136848309426,0.5250150539480192,0.5247024940845272,0.9,0.88,0.49781181619256015
1:10_GraphSAGE_focal_loss_s43,1:10,GraphSAGE,focal_loss,43,True,test,169,0.7589380709035112,0.01938014492855894,0.019075911720819905,0.0,0.01,0.011834319526627219
1:10_GraphSAGE_focal_loss_s44,1:10,GraphSAGE,focal_loss,44,True,val,914,0.9291317759551954,0.5348976050073757,0.53433080608524,0.78,0.82,0.5470459518599562
1:10_GraphSAGE_focal_loss_s44,1:10,GraphSAGE,focal_loss,44,True,test,169,0.7435986633708076,0.01674437598313962,0.016512510346592856,0.0,0.0,0.005917159763313609
1:10_GraphSAGE_none,1:10,GraphSAGE,none,42,True,val,914,0.8979483487375592,0.3872054892185162,0.3864653247121994,0.7,0.66,0.46936542669584247
1:10_GraphSAGE_none,1:10,GraphSAGE,none,42,True,test,169,0.5499500449376854,0.008398819321244148,0.008216046423151399,0.0,0.01,0.01775147928994083
1:10_GraphSAGE_none_s43,1:10,GraphSAGE,none,43,True,val,914,0.9013654354998294,0.39835529116845325,0.3975763640771976,0.68,0.68,0.4638949671772429
1:10_GraphSAGE_none_s43,1:10,GraphSAGE,none,43,True,test,169,0.5536930080666554,0.008635762469163893,0.008464654814286703,0.0,0.0,0.011834319526627219
1:10_GraphSAGE_none_s44,1:10,GraphSAGE,none,44,True,val,914,0.8889579844655222,0.44074198650225554,0.440235327255953,0.82,0.74,0.5010940919037199
1:10_GraphSAGE_none_s44,1:10,GraphSAGE,none,44,True,test,169,0.48356757621845714,0.00697487646175213,0.006845350169227517,0.0,0.01,0.005917159763313609
1:10_TAGCN_class_weighting,1:10,TAGCN,class_weighting,42,False,val,914,0.713343755052958,0.17706737312454018,0.17628374095801397,0.6,0.46,0.29978118161925604
1:10_TAGCN_class_weighting,1:10,TAGCN,class_weighting,42,False,test,169,0.6910533480955711,0.010874957874055487,0.010761071851017164,0.0,0.0,0.0
1:10_TAGCN_focal_loss,1:10,TAGCN,focal_loss,42,True,val,914,0.836011808819221,0.1988720666789762,0.19808237928090863,0.1,0.2,0.3238512035010941
1:10_TAGCN_focal_loss,1:10,TAGCN,focal_loss,42,True,test,169,0.49166472189709337,0.0068145408635593265,0.00672715668358287,0.0,0.0,0.0
1:10_TAGCN_none,1:10,TAGCN,none,42,True,val,914,0.8472003006875991,0.2932514591867154,0.2927193139700391,0.86,0.71,0.39059080962800874
1:10_TAGCN_none,1:10,TAGCN,none,42,True,test,169,0.6297451198291107,0.009717616622810014,0.009600539380980782,0.0,0.0,0.005917159763313609
1:1_GAT_class_weighting,1:1,GAT,class_weighting,42,True,val,914,0.8522594489380152,0.27463879008942144,0.2736370439888695,0.68,0.69,0.31181619256017507
1:1_GAT_class_weighting,1:1,GAT,class_weighting,42,True,test,169,0.5282492468145447,0.007252854907077354,0.007177259691439379,0.0,0.0,0.0
1:1_GAT_focal_loss,1:1,GAT,focal_loss,42,False,val,914,0.8468429334916164,0.1671864982710958,0.1663636584301916,0.18,0.15,0.23304157549234136
1:1_GAT_focal_loss,1:1,GAT,focal_loss,42,False,test,169,0.4716743346765323,0.006991204822674511,0.006826477239002296,0.0,0.01,0.005917159763313609
1:1_GAT_none,1:1,GAT,none,42,False,val,914,0.9174521277310732,0.3606487510003668,0.35976185065773425,0.46,0.53,0.43326039387308535
1:1_GAT_none,1:1,GAT,none,42,False,test,169,0.6691917366119019,0.015418706606428603,0.01498554004825798,0.02,0.03,0.029585798816568046
1:1_GCN_class_weighting,1:1,GCN,class_weighting,42,False,val,914,0.8419811281821992,0.16515691776492192,0.1642904262713056,0.32,0.27,0.2188183807439825
1:1_GCN_class_weighting,1:1,GCN,class_weighting,42,False,test,169,0.6404635232843594,0.01536261733994685,0.01499256512815016,0.02,0.02,0.023668639053254437
1:1_GCN_class_weighting_s43,1:1,GCN,class_weighting,43,False,val,914,0.8421354141242207,0.18341649354070805,0.182437603647846,0.26,0.28,0.24835886214442013
1:1_GCN_class_weighting_s43,1:1,GCN,class_weighting,43,False,test,169,0.7181193945286921,0.029938156231631406,0.02933515985545802,0.0,0.05,0.05917159763313609
1:1_GCN_class_weighting_s44,1:1,GCN,class_weighting,44,False,val,914,0.864706400003333,0.22532802988310668,0.22437762522013285,0.36,0.48,0.2921225382932166
1:1_GCN_class_weighting_s44,1:1,GCN,class_weighting,44,False,test,169,0.6106590182974728,0.012963485648492916,0.012672068723035914,0.0,0.01,0.01775147928994083
1:1_GCN_focal_loss,1:1,GCN,focal_loss,42,False,val,914,0.6994459147888824,0.06663411674955018,0.06685396480753816,0.08,0.07,0.08205689277899343
1:1_GCN_focal_loss,1:1,GCN,focal_loss,42,False,test,169,0.6474877222215504,0.010751077890532586,0.010376773629886076,0.02,0.02,0.01775147928994083
1:1_GCN_focal_loss_s43,1:1,GCN,focal_loss,43,False,val,914,0.6558378609015645,0.08296747940849604,0.08258768043437774,0.02,0.15,0.14332603938730853
1:1_GCN_focal_loss_s43,1:1,GCN,focal_loss,43,False,test,169,0.6425942359860162,0.01073549825736461,0.010573312615876535,0.0,0.0,0.0
1:1_GCN_focal_loss_s44,1:1,GCN,focal_loss,44,False,val,914,0.7794856923026978,0.10655966579681792,0.10582815887254132,0.38,0.29,0.13566739606126915
1:1_GCN_focal_loss_s44,1:1,GCN,focal_loss,44,False,test,169,0.6877243828819453,0.02966877791008639,0.02875829079388045,0.06,0.07,0.07100591715976332
1:1_GCN_none,1:1,GCN,none,42,False,val,914,0.8192439670482486,0.13196246960974106,0.13120357450677161,0.22,0.16,0.19037199124726478
1:1_GCN_none,1:1,GCN,none,42,False,test,169,0.6834580687524717,0.02064146081020446,0.02004922229729631,0.04,0.02,0.011834319526627219
1:1_GCN_none_s43,1:1,GCN,none,43,False,val,914,0.8419111286247567,0.17185449063575886,0.17314589431448732,0.24,0.21,0.24070021881838075
1:1_GCN_none_s43,1:1,GCN,none,43,False,test,169,0.6535557892423838,0.023179084300713363,0.022697125952304418,0.0,0.02,0.03550295857988166
1:1_GCN_none_s44,1:1,GCN,none,44,False,val,914,0.782468612803717,0.1399398324541047,0.13915321345505727,0.46,0.42,0.16192560175054704
1:1_GCN_none_s44,1:1,GCN,none,44,False,test,169,0.7226046721298611,0.029491197032693362,0.02905307760491195,0.0,0.0,0.0
1:1_GraphSAGE_class_weighting,1:1,GraphSAGE,class_weighting,42,True,val,914,0.9120631443958416,0.33177030256377765,0.33060197927593715,0.48,0.48,0.40153172866520787
1:1_GraphSAGE_class_weighting,1:1,GraphSAGE,class_weighting,42,True,test,169,0.8043521498687892,0.024819250809671862,0.024462902447815973,0.0,0.0,0.01775147928994083
1:1_GraphSAGE_class_weighting_s43,1:1,GraphSAGE,class_weighting,43,True,val,914,0.8800784167978812,0.351449535583775,0.3509293765207296,0.78,0.67,0.41575492341356673
1:1_GraphSAGE_class_weighting_s43,1:1,GraphSAGE,class_weighting,43,True,test,169,0.5081372846934241,0.00724477780938507,0.007147055111052953,0.0,0.0,0.0
1:1_GraphSAGE_class_weighting_s44,1:1,GraphSAGE,class_weighting,44,True,val,914,0.8462815614091064,0.21259998211682968,0.21192958248305052,0.2,0.31,0.3227571115973742
